TEMP,TNMFRC,PERMANENT_,SOURCE_FEA,SOURCE_DAT,SOURCE_D00,SOURCE_ORI,LOADDATE,INTERSTATE,INTERSTA00,INTERSTA01,INTERSTA02,US_ROUTE,US_ROUTE_A,US_ROUTE_B,US_ROUTE_C,STATE_ROUT,STATE_RO00,STATE_RO01,STATE_RO02,COUNTY_ROU,FEDERAL_LA,STCO_FIPSC,FULL_STREE,MTFCC_CODE,SHAPE_LENG
54625,4,e1a6bf17-6d33-4cff-bb59-4e9cf83fc850,110686410432,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208133159,,,,,,,,,,,,,,,48113,E John Carpenter Fwy,S1640,0.000632213667093945
54626,1,82840413-54f7-4c74-b26d-d69591edf7b8,1104487292195,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208124815,,,,,,,,,12,,,,,,48113,N Walton Walker Blvd,S1100,0.00155474979266864
54627,1,13eee7f7-40fa-4080-9e94-c3b7a0148d34,1102964833006,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208113928,,,,,,,,,12,,,,,,48113,N Walton Walker Blvd,S1100,0.000144045131612924
141397,4,9067f446-883a-4491-afd5-42bbb9deba07,110686370069,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208135408,,,,,,,,,,,,,,,48113,Hidalgo St,S1400,0.000864200651348457
141602,4,a21ad2cc-4569-42c3-b244-da5ae647b349,110686395218,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120549,,,,,,,,,,,,,,,48113,Chemsearch Blvd,S1400,0.000199999999722422
141603,4,0224df4b-7f87-4566-94e2-586e8cd9577b,110686391226,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111804,,,,,,,,,,,,,,,48113,E Northgate Dr,S1400,0.000340288112646554
141604,4,54cf25a9-9551-4d4a-b5f7-a7e6a3f2b657,110686373597,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208131819,,,,,,,,,,,,,,,48113,Science Dr,S1400,0.000251914667740258
141605,4,a3e01fcd-6dc0-4e8c-928e-d3951fa75722,110686379170,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120320,,,,,,,,,,,,,,,48113,Haggerty,S1400,0.000909018396288741
141606,5,f76d2bc0-2f8c-4d52-8aeb-fcaabd8a6fc8,1105317260657,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208133841,,,,,,,,,,,,,,,48113,,S1630,8.60523095122113e-005
141607,4,043b0413-1c1c-4c37-a4f9-79e57309718f,110686405156,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120640,,,,,,,,,,,,,,,48113,Tom Braniff Dr,S1400,0.000255713027304016
141608,4,1d4630bf-5b51-43f1-9d43-c86fab27f5c0,110686410432,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208133159,,,,,,,,,,,,,,,48113,E John Carpenter Fwy,S1640,0.0025474903002701
228255,4,0e9c0dc8-7b78-4f22-af75-f0d31ebdfb71,110686383150,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208134014,,,,,,,,,,,,,,,48113,Rochelle Blvd,S1400,0.000770257747864744
228257,4,3f829698-47fb-4998-b8eb-1f5ec4ef3632,110686369077,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111920,,,,,,,,,,,,,,,48113,Fortune Ct,S1400,0.000499916992291594
228520,4,dfb3a892-887b-49c7-8d30-37958a291eeb,110686411543,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208121039,,,,,,,,,,,,,,,48113,E John W Carpenter Fwy,S1640,0.000443029242002937
228521,4,cc9b006d-6bab-4a7d-a18d-b84bdc05c7ee,110686405107,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208122431,,,,,,,,,,,,,,,48113,Texas Plaza Dr,S1400,0.000147800540978218
228523,4,0bfe377d-2ff6-4238-ac30-4ebc253970a4,110686405158,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111136,,,,,,,,,,,,,,,48113,Tom Braniff Dr,S1400,0.000323198729482994
228524,1,ed882e7c-3d1a-4576-9598-dd87a158900b,1102964833006,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208113928,,,,,,,,,12,,,,,,48113,N Walton Walker Blvd,S1100,0.00031053824191097
315080,4,c0bca525-8742-49ad-ada0-0d737b1ef81c,110686348083,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111912,,,,,,,,,,,,,,,48113,Ricci Ln,S1740,0.00312186096867538
315081,4,cf37579a-e5b4-4e69-8c35-32486e1fcd65,110686411385,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208123731,,,,,,,,,,,,,,,48113,University Park Ln,S1740,0.000442459036967665
315311,5,eee0c7a7-0d1e-4abc-9ccc-b2f153e4f711,110686463073,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208135455,,,,,,,,,,,,,,,48113,,S1630,0.00259746254018876
315312,4,5772a813-24ee-466e-9177-f74d30c1ad9c,110686391226,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208111804,,,,,,,,,,,,,,,48113,E Northgate Dr,S1400,0.00213257164914929
401864,4,754cc3d6-05d5-4c88-88ca-91c3b980394f,110686364018,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208124518,,,,,,,,,,,,,,,48113,Sonora Ct,S1400,0.000619735694068997
401865,4,e25a23c7-4559-4caf-8523-051cb3b64c37,110686370069,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208135408,,,,,,,,,,,,,,,48113,Hidalgo St,S1400,0.000591031703228731
402084,4,9c7333fb-e7b7-488b-b46f-f8a8d915effb,110686405156,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120640,,,,,,,,,,,,,,,48113,Tom Braniff Dr,S1400,0.000714026827272934
402086,1,24c5bb4c-8f0e-4c6c-bac5-d92a85932154,1102964833006,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208113928,,,,,,,,,12,,,,,,48113,N Walton Walker Blvd,S1100,0.00552336014762853
402087,5,9917cfdf-6775-45e6-a89f-1119179b502c,1105317260653,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208113804,,,,,,,,,,,,,,,48113,,S1630,0.000357659907425272
402088,4,6a36ff2a-54d6-49c7-b7af-a890514763f3,110686323364,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208120234,,,,,,,,,,,,,,,48113,W Svc Rd,S1640,0.000195467496851671
402089,1,ba55ec8c-488c-4fd5-9722-047bbac2f937,1104487292195,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208124827,,,,,,,,,12,,,,,,48113,N Walton Walker Blvd,S1100,0.000150814455320368
402090,4,e69f3d85-9226-4230-8b1c-a53752557239,110686410432,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208133159,,,,,,,,,,,,,,,48113,E John Carpenter Fwy,S1640,0.000120917326904011
488374,4,2e435185-9cd8-4b67-875f-ae76637c1ce5,110686351860,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208112204,,,,,,,,,,,,,,,48113,Balboa St,S1400,0.000244051223742484
488375,4,0089a47b-61be-4fbf-8e53-8ed4837ccf72,110686411385,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208123731,,,,,,,,,,,,,,,48113,University Park Ln,S1740,0.0038522905826435
488617,4,0aa9e1d6-1f16-4014-b5fe-656108d08c24,110686400721,{F27AAE8E-8459-46CE-926B-6F515BE7874F},2016 BAS Tiger/Line Shapefiles Release,"U.S Department of Commerce, U.S. Census Bureau, Geography Division",20151208121819,,,,,,,,,,,,,,,48113,University Ave,S1400,0.00102006756147613
