osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags
366371748,,service,,,,,0,"""service""=>""driveway"""
329545839,,secondary_link,,,,,6,"""oneway""=>""yes"""
366371747,,service,,,,,0,"""service""=>""driveway"""
10012728,East John W Carpenter Freeway,secondary,,,,,6,"""oneway""=>""yes"",""tiger:cfcc""=>""A64"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""John W Carpenter"",""tiger:name_direction_prefix""=>""E"",""tiger:name_type""=>""Fwy"",""tiger:reviewed""=>""no"""
366371746,,service,,,,,0,"""service""=>""driveway"""
386197956,,service,,,,,0,
9945030,,secondary_link,,,,,6,"""oneway""=>""yes"",""tiger:cfcc""=>""A63"",""tiger:county""=>""Dallas, TX"""
386197955,,service,,,,,0,
558803068,Tom Braniff Drive,secondary,,,,,6,"""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Tom Braniff"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""75039"",""tiger:zip_right""=>""75039"""
10011386,Soledad Drive,service,,,,,0,"""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Soledad"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""75062"",""tiger:zip_right""=>""75062"""
558803065,Tom Braniff Drive,secondary,,,,,6,"""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Tom Braniff"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"""
25727434,Tom Braniff Drive,secondary,,,,,26,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Tom Braniff"",""tiger:name_type""=>""Dr"",""tiger:separated""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070829"",""tiger:tlid""=>""103268802:103235346:103234785:103234789:103234790:103234791"""
9996977,Blakeley Lane,service,,,,,0,"""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Blakeley"",""tiger:reviewed""=>""no"""
558803063,Chemsearch Boulevard,tertiary,,,,,4,"""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Chemsearch"",""tiger:name_type""=>""Blvd"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""75062"",""tiger:zip_right""=>""75062"""
446930393,DART,,,,,,5,"""electrified""=>""contact_line"",""oneway""=>""yes"",""railway""=>""light_rail"""
446930392,DART,,,,,,5,"""electrified""=>""contact_line"",""oneway""=>""yes"",""railway""=>""light_rail"""
25727432,Tom Braniff Drive,secondary,,,,,26,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Tom Braniff"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:separated""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070829"",""tiger:tlid""=>""102893520:103201580:103201581:103005248:103203252"",""tiger:zip_left""=>""75039"",""tiger:zip_right""=>""75039"""
558803060,Chemsearch Boulevard,tertiary,,,,,4,"""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Dallas, TX"",""tiger:name_base""=>""Chemsearch"",""tiger:name_type""=>""Blvd"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""75062"",""tiger:zip_right""=>""75062"""
562552479,,service,,,,,0,
544831170,TEXpress Lane,construction,,,,,0,"""construction""=>""motorway"",""oneway""=>""yes"",""toll""=>""yes"""
610359328,,service,,,,,0,
359630557,Haggar Circle,residential,,,,,3,
